Post_Date,Neighborhood,Price,Title,Url,Bedroom,sqft
2022-08-18 14:51:00,Seattle,1703.0,"Storage Units, Microwave, Two Indoor Pool Cabanas",https://seattle.craigslist.org/see/apa/d/seattle-storage-units-microwave-two/7523108821.html,1.0,586.0
2022-08-18 14:50:00,Seattle,3200.0,"#1207 - Brand New, Tons of Storage, Luxury Finishes!",https://seattle.craigslist.org/see/apa/d/seattle-brand-new-tons-of-storage/7523108555.html,1.0,785.0
2022-08-18 14:49:00,Capitol Hill,1995.0,"JOHN COURT►HUGE Courtyard, Plank Floors, Cats/Dogs ok! Garage parking!",https://seattle.craigslist.org/see/apa/d/seattle-john-courthuge-courtyard-plank/7523107978.html,1.0,688.0
2022-08-18 14:49:00,Seattle,3380.0,#1106 - Spacious Traditional Luxury Home With Lots of Natural Light!,https://seattle.craigslist.org/see/apa/d/seattle-spacious-traditional-luxury/7523107952.html,1.0,792.0
2022-08-18 14:48:00,Seattle,3739.0,Renovated 2-Bedroom Apartment Next to Queen Anne's Farmer's Market!,https://seattle.craigslist.org/see/apa/d/seattle-renovated-bedroom-apartment/7523107542.html,2.0,1009.0
2022-08-18 14:48:00,"14700 Ne 35Th St, Bellevue, Wa",2650.0,"Modern kitchen, 2BR 1BA apt in Bellevue, W/D inside, Private patio",https://seattle.craigslist.org/see/apa/d/bellevue-modern-kitchen-2br-1ba-apt-in/7523107472.html,2.0,950.0
2022-08-18 14:45:00,Spring District,2812.0,"Custom pendant lights in kitchen, Well-stocked fitness center",https://seattle.craigslist.org/see/apa/d/bellevue-custom-pendant-lights-in/7523106481.html,1.0,750.0
2022-08-18 14:45:00,South Lake Union,8160.0,Urban Energy. Sky High Decadence.,https://seattle.craigslist.org/see/apa/d/seattle-urban-energy-sky-high-decadence/7523106184.html,2.0,1748.0
2022-08-18 14:44:00,"Ballard, Seattle",2395.0,Private Entry! Two Bedroom/One Bath Available in Ballard*,https://seattle.craigslist.org/see/apa/d/seattle-private-entry-two-bedroom-one/7523106047.html,2.0,1000.0
2022-08-18 14:44:00,Ballard,2250.0,"2 Bed, 1 Bath Ballard #A $2250.00",https://seattle.craigslist.org/see/apa/d/seattle-bed-bath-ballard/7519894841.html,2.0,900.0
2022-08-18 14:41:00,Alki,1183.0,1-Bedroom near Alki Beach w/special,https://seattle.craigslist.org/see/apa/d/seattle-bedroom-near-alki-beach-special/7523098952.html,1.0,328.0
2022-08-18 14:41:00,"Belltown, Seattle",2865.0,"Fabulous Loft Living In Belltown! 1x1! Water Views, Balcony, & A/C!",https://seattle.craigslist.org/see/apa/d/seattle-fabulous-loft-living-in/7523104812.html,1.0,666.0
2022-08-18 14:40:00,Renton - 15 Minute Drive To Kubota Gardens,2476.0,Simply breath-taking! Amazing views at 2000 Lake Washington Apartments,https://seattle.craigslist.org/see/apa/d/renton-simply-breath-taking-amazing/7523104497.html,2.0,889.0
2022-08-18 14:40:00,Lake City/Shoreline/Cedar Park,1976.0,5Th Floor 1x1 Large Patio Walk In Closet Visit Today,https://seattle.craigslist.org/see/apa/d/seattle-5th-floor-1x1-large-patio-walk/7523104341.html,1.0,677.0
2022-08-18 14:39:00,Seattle,2455.0,"Amazon Hub - Package Lockers, Carpeting, Business Center",https://seattle.craigslist.org/see/apa/d/seattle-amazon-hub-package-lockers/7523103855.html,1.0,700.0
2022-08-18 14:36:00,"Belltown, Seattle",3002.0,Tremendous Views Of The Sound In Your Belltown 1x1! Balcony & A/C!,https://seattle.craigslist.org/see/apa/d/seattle-tremendous-views-of-the-sound/7523102870.html,1.0,665.0
2022-08-18 14:36:00,Seattle,2327.0,"Controlled Access, Close to Freeway, Extra-large closets",https://seattle.craigslist.org/see/apa/d/seattle-controlled-access-close-to/7519267681.html,1.0,448.0
2022-08-18 14:36:00,Kent,1799.0,"Full-Size Washer & Dryer*, Private Balcony or Patio",https://seattle.craigslist.org/see/apa/d/seattle-full-size-washer-dryer-private/7523102725.html,2.0,891.0
2022-08-18 14:35:00,"337 Ne 103Rd Street Seattle, Wa",1995.0,Large Studio Steps Away from Kraken Iceplex 🤩,https://seattle.craigslist.org/see/apa/d/seattle-large-studio-steps-away-from/7523096808.html,,589.0
2022-08-18 14:35:00,Seattle,2250.0,"Serene Living, Southern exposure, Walk to Downtown Winslow",https://seattle.craigslist.org/see/apa/d/bainbridge-island-serene-living/7523102371.html,2.0,1130.0
2022-08-18 14:35:00,East Lake/South Lake Union/Seattle/Downtown/Amazon,3100.0,1 Bedroom + Den Available in the Eastlake Area!,https://seattle.craigslist.org/see/apa/d/seattle-bedroom-den-available-in-the/7523093823.html,1.0,945.0
2022-08-18 14:32:00,Wallingford,3980.0,Brand New 2BD/2BTH with Special On Top of Market Price!,https://seattle.craigslist.org/see/apa/d/seattle-brand-new-2bd-2bth-with-special/7523084003.html,2.0,1086.0
2022-08-18 14:32:00,"7805 170Th Pl Ne Redmond, Wa",1656.0,Top floor studio in Downtown Redmond!,https://seattle.craigslist.org/see/apa/d/redmond-top-floor-studio-in-downtown/7523101033.html,,533.0
2022-08-18 14:32:00,Seattle Ne- View Ridge/Sandpoint/Wedgood,2395.0,2BD/1BA-FULLY FURNISHED apt. MIL/Sandpoint Golf Club/NEAR UW - Aug 29,https://seattle.craigslist.org/see/apa/d/seattle-2bd-1ba-fully-furnished-apt-mil/7522104161.html,2.0,1200.0
2022-08-18 14:32:00,"21212 International Boulevard Seatac, Wa",1693.0,GREAT PLACE TO LIVE-Designed with Seniors in Mind,https://seattle.craigslist.org/see/apa/d/kent-great-place-to-live-designed-with/7523100822.html,2.0,715.0
2022-08-18 14:31:00,Capitol Hill- Seattle- Downtown Seattle,2195.0,Spacious studio with gorgeous views! Get the best natural lighting!,https://seattle.craigslist.org/see/apa/d/seattle-spacious-studio-with-gorgeous/7520243476.html,1.0,555.0
2022-08-18 14:31:00,Renton - 15 Minute Drive To Kubota Gardens,2028.0,"Let us show you the home of your dreams! Tour our 1 Bed, 1 bath!",https://seattle.craigslist.org/see/apa/d/renton-let-us-show-you-the-home-of-your/7523100626.html,1.0,650.0
2022-08-18 14:31:00,Capitol Hill- Seattle- Rooftop- Gym,2495.0,Large 1 bedroom available NOW!,https://seattle.craigslist.org/see/apa/d/seattle-large-bedroom-available-now/7520273617.html,1.0,693.0
2022-08-18 14:31:00,Cap Hill Apartment!,2195.0,Pet-Friendly Studio With Gorgeous Views 4 weeks free!,https://seattle.craigslist.org/see/apa/d/seattle-pet-friendly-studio-with/7520301430.html,,415.0
2022-08-18 14:30:00,Capitol Hill ~ Downtown ~ Seattle,2200.0,The perfect 1x1+ den available now! AC units for rent!,https://seattle.craigslist.org/see/apa/d/seattle-the-perfect-1x1-den-available/7520529430.html,1.0,589.0
2022-08-18 14:29:00,Four Weeks Free!! Lower Your Rent For 12 Months!!,2562.0,City view with floor to ceiling windows!,https://seattle.craigslist.org/see/apa/d/seattle-city-view-with-floor-to-ceiling/7520537830.html,1.0,589.0
2022-08-18 14:29:00,Capitol Hill,1829.0,City view studio! Tour today!,https://seattle.craigslist.org/see/apa/d/seattle-city-view-studio-tour-today/7520561521.html,,446.0
2022-08-18 14:29:00,"Seattle, Lake City",1495.0,"Stunning 1x1 with spacious living room, Laundry facility onsite & more",https://seattle.craigslist.org/see/apa/d/seattle-stunning-1x1-with-spacious/7523099796.html,1.0,675.0
2022-08-18 14:29:00,Seattle,630.0,Available September 1st-Lovely 1bedroom apt in Seattle,https://seattle.craigslist.org/see/apa/d/seattle-available-september-1st-lovely/7523097531.html,1.0,
